Episode,Reward,Length
1,24.0,24
2,25.0,25
3,31.0,31
4,11.0,11
5,12.0,12
6,14.0,14
7,12.0,12
8,16.0,16
9,49.0,49
10,11.0,11
11,29.0,29
12,17.0,17
13,10.0,10
14,40.0,40
15,45.0,45
16,58.0,58
17,25.0,25
18,10.0,10
19,30.0,30
20,24.0,24
21,16.0,16
22,13.0,13
23,18.0,18
24,36.0,36
25,21.0,21
26,15.0,15
27,10.0,10
28,22.0,22
29,11.0,11
30,13.0,13
31,33.0,33
32,17.0,17
33,16.0,16
34,11.0,11
35,20.0,20
36,16.0,16
37,14.0,14
38,10.0,10
39,16.0,16
40,15.0,15
41,58.0,58
42,31.0,31
43,37.0,37
44,13.0,13
45,32.0,32
46,12.0,12
47,19.0,19
48,13.0,13
49,15.0,15
50,13.0,13
51,31.0,31
52,17.0,17
53,37.0,37
54,27.0,27
55,36.0,36
56,11.0,11
57,16.0,16
58,43.0,43
59,15.0,15
60,17.0,17
61,16.0,16
62,28.0,28
63,10.0,10
64,15.0,15
65,63.0,63
66,19.0,19
67,25.0,25
68,31.0,31
69,16.0,16
70,11.0,11
71,15.0,15
72,21.0,21
73,18.0,18
74,32.0,32
75,11.0,11
76,19.0,19
77,19.0,19
78,26.0,26
79,21.0,21
80,12.0,12
81,15.0,15
82,23.0,23
83,11.0,11
84,37.0,37
85,10.0,10
86,10.0,10
87,40.0,40
88,12.0,12
89,11.0,11
90,21.0,21
91,21.0,21
92,22.0,22
93,9.0,9
94,19.0,19
95,31.0,31
96,16.0,16
97,22.0,22
98,12.0,12
99,11.0,11
100,13.0,13
101,18.0,18
102,13.0,13
103,12.0,12
104,33.0,33
105,20.0,20
106,41.0,41
107,17.0,17
108,16.0,16
109,17.0,17
110,13.0,13
111,25.0,25
112,20.0,20
113,25.0,25
114,17.0,17
115,13.0,13
116,39.0,39
117,26.0,26
118,14.0,14
119,28.0,28
120,15.0,15
121,15.0,15
122,18.0,18
123,29.0,29
124,22.0,22
125,25.0,25
126,18.0,18
127,44.0,44
128,16.0,16
129,31.0,31
130,25.0,25
131,18.0,18
132,25.0,25
133,31.0,31
134,78.0,78
135,58.0,58
136,25.0,25
137,20.0,20
138,12.0,12
139,15.0,15
140,31.0,31
141,15.0,15
142,23.0,23
143,25.0,25
144,20.0,20
145,19.0,19
146,11.0,11
147,22.0,22
148,11.0,11
149,18.0,18
150,11.0,11
151,9.0,9
152,10.0,10
153,27.0,27
154,16.0,16
155,29.0,29
156,19.0,19
157,36.0,36
158,25.0,25
159,21.0,21
160,20.0,20
161,18.0,18
162,11.0,11
163,12.0,12
164,17.0,17
165,72.0,72
166,25.0,25
167,52.0,52
168,21.0,21
169,14.0,14
170,13.0,13
171,35.0,35
172,49.0,49
173,40.0,40
174,16.0,16
175,16.0,16
176,11.0,11
177,28.0,28
178,9.0,9
179,21.0,21
180,12.0,12
181,14.0,14
182,10.0,10
183,14.0,14
184,19.0,19
185,14.0,14
186,13.0,13
187,9.0,9
188,29.0,29
189,32.0,32
190,9.0,9
191,48.0,48
192,12.0,12
193,13.0,13
194,41.0,41
195,14.0,14
196,31.0,31
197,18.0,18
198,38.0,38
199,16.0,16
200,17.0,17
201,38.0,38
202,9.0,9
203,15.0,15
204,10.0,10
205,16.0,16
206,11.0,11
207,17.0,17
208,105.0,105
209,20.0,20
210,17.0,17
211,14.0,14
212,28.0,28
213,36.0,36
214,19.0,19
215,12.0,12
216,9.0,9
217,11.0,11
218,53.0,53
219,95.0,95
220,26.0,26
221,17.0,17
222,32.0,32
223,35.0,35
224,16.0,16
225,28.0,28
226,11.0,11
227,16.0,16
228,33.0,33
229,26.0,26
230,19.0,19
231,18.0,18
232,17.0,17
233,24.0,24
234,11.0,11
235,13.0,13
236,40.0,40
237,18.0,18
238,18.0,18
239,19.0,19
240,22.0,22
241,28.0,28
242,31.0,31
243,24.0,24
244,25.0,25
245,11.0,11
246,16.0,16
247,18.0,18
248,13.0,13
249,26.0,26
250,15.0,15
251,18.0,18
252,23.0,23
253,17.0,17
254,23.0,23
255,27.0,27
256,10.0,10
257,20.0,20
258,12.0,12
259,15.0,15
260,18.0,18
261,15.0,15
262,20.0,20
263,14.0,14
264,38.0,38
265,24.0,24
266,34.0,34
267,14.0,14
268,35.0,35
269,25.0,25
270,25.0,25
271,14.0,14
272,17.0,17
273,33.0,33
274,16.0,16
275,10.0,10
276,14.0,14
277,10.0,10
278,21.0,21
279,28.0,28
280,23.0,23
281,23.0,23
282,13.0,13
283,19.0,19
284,32.0,32
285,20.0,20
286,12.0,12
287,12.0,12
288,25.0,25
289,12.0,12
290,15.0,15
291,35.0,35
292,10.0,10
293,15.0,15
294,22.0,22
295,23.0,23
296,11.0,11
297,23.0,23
298,28.0,28
299,24.0,24
300,36.0,36
301,36.0,36
302,16.0,16
303,13.0,13
304,60.0,60
305,18.0,18
306,27.0,27
307,27.0,27
308,16.0,16
309,30.0,30
310,13.0,13
311,14.0,14
312,15.0,15
313,23.0,23
314,45.0,45
315,12.0,12
316,43.0,43
317,15.0,15
318,14.0,14
319,21.0,21
320,10.0,10
321,19.0,19
322,25.0,25
323,15.0,15
324,13.0,13
325,13.0,13
326,14.0,14
327,23.0,23
328,9.0,9
329,33.0,33
330,17.0,17
331,20.0,20
332,10.0,10
333,30.0,30
334,18.0,18
335,15.0,15
336,36.0,36
337,19.0,19
338,19.0,19
339,14.0,14
340,24.0,24
341,20.0,20
342,38.0,38
343,22.0,22
344,28.0,28
345,12.0,12
346,12.0,12
347,20.0,20
348,10.0,10
349,28.0,28
350,25.0,25
351,13.0,13
352,12.0,12
353,12.0,12
354,12.0,12
355,14.0,14
356,12.0,12
357,17.0,17
358,16.0,16
359,21.0,21
360,11.0,11
361,14.0,14
362,27.0,27
363,24.0,24
364,15.0,15
365,21.0,21
366,21.0,21
367,23.0,23
368,15.0,15
369,11.0,11
370,24.0,24
371,28.0,28
372,15.0,15
373,24.0,24
374,17.0,17
375,27.0,27
376,36.0,36
377,16.0,16
378,12.0,12
379,14.0,14
380,27.0,27
381,14.0,14
382,13.0,13
383,18.0,18
384,33.0,33
385,20.0,20
386,37.0,37
387,24.0,24
388,21.0,21
389,13.0,13
390,42.0,42
391,24.0,24
392,16.0,16
393,40.0,40
394,18.0,18
395,34.0,34
396,22.0,22
397,19.0,19
398,20.0,20
399,15.0,15
400,19.0,19
401,35.0,35
402,16.0,16
403,21.0,21
404,22.0,22
405,18.0,18
406,32.0,32
407,14.0,14
408,19.0,19
409,31.0,31
410,12.0,12
411,16.0,16
412,22.0,22
413,17.0,17
414,31.0,31
415,35.0,35
416,15.0,15
417,15.0,15
418,44.0,44
419,14.0,14
420,14.0,14
421,13.0,13
422,22.0,22
423,10.0,10
424,37.0,37
425,11.0,11
426,30.0,30
427,33.0,33
428,21.0,21
429,24.0,24
430,17.0,17
431,15.0,15
432,44.0,44
433,13.0,13
434,17.0,17
435,53.0,53
436,20.0,20
437,25.0,25
438,52.0,52
439,13.0,13
440,48.0,48
441,21.0,21
442,11.0,11
443,25.0,25
444,15.0,15
445,14.0,14
446,10.0,10
447,13.0,13
448,18.0,18
449,20.0,20
450,16.0,16
451,13.0,13
452,31.0,31
453,25.0,25
454,21.0,21
455,19.0,19
456,29.0,29
457,16.0,16
458,41.0,41
459,32.0,32
460,33.0,33
461,14.0,14
462,11.0,11
463,13.0,13
464,14.0,14
465,13.0,13
466,34.0,34
467,14.0,14
468,24.0,24
469,25.0,25
470,13.0,13
471,71.0,71
472,16.0,16
473,20.0,20
474,14.0,14
475,29.0,29
476,86.0,86
477,16.0,16
478,19.0,19
479,18.0,18
480,18.0,18
481,12.0,12
482,19.0,19
483,29.0,29
484,25.0,25
485,15.0,15
486,10.0,10
487,17.0,17
488,36.0,36
489,20.0,20
490,40.0,40
491,13.0,13
492,13.0,13
493,24.0,24
494,13.0,13
495,10.0,10
496,11.0,11
497,26.0,26
498,22.0,22
499,13.0,13
500,11.0,11
501,15.0,15
502,20.0,20
503,18.0,18
504,9.0,9
505,14.0,14
506,18.0,18
507,20.0,20
508,29.0,29
509,23.0,23
510,22.0,22
511,12.0,12
512,14.0,14
513,10.0,10
514,17.0,17
515,43.0,43
516,24.0,24
517,22.0,22
518,12.0,12
519,16.0,16
520,23.0,23
521,8.0,8
522,11.0,11
523,14.0,14
524,12.0,12
525,29.0,29
526,42.0,42
527,11.0,11
528,16.0,16
529,16.0,16
530,13.0,13
531,14.0,14
532,27.0,27
533,26.0,26
534,14.0,14
535,29.0,29
536,24.0,24
537,16.0,16
538,16.0,16
539,22.0,22
540,16.0,16
541,12.0,12
542,10.0,10
543,13.0,13
544,14.0,14
545,15.0,15
546,33.0,33
547,22.0,22
548,35.0,35
549,19.0,19
550,16.0,16
551,15.0,15
552,18.0,18
553,26.0,26
554,15.0,15
555,35.0,35
556,49.0,49
557,27.0,27
558,13.0,13
559,14.0,14
560,30.0,30
561,28.0,28
562,14.0,14
563,10.0,10
564,14.0,14
565,11.0,11
566,19.0,19
567,39.0,39
568,11.0,11
569,25.0,25
570,14.0,14
571,15.0,15
572,38.0,38
573,15.0,15
574,12.0,12
575,19.0,19
576,21.0,21
577,66.0,66
578,17.0,17
579,15.0,15
580,28.0,28
581,52.0,52
582,17.0,17
583,9.0,9
584,46.0,46
585,18.0,18
586,21.0,21
587,24.0,24
588,10.0,10
589,13.0,13
590,31.0,31
591,13.0,13
592,31.0,31
593,24.0,24
594,21.0,21
595,41.0,41
596,23.0,23
597,26.0,26
598,25.0,25
599,26.0,26
600,25.0,25
601,12.0,12
602,15.0,15
603,20.0,20
604,23.0,23
605,18.0,18
606,29.0,29
607,10.0,10
608,12.0,12
609,9.0,9
610,23.0,23
611,25.0,25
612,19.0,19
613,11.0,11
614,14.0,14
615,15.0,15
616,40.0,40
617,13.0,13
618,32.0,32
619,18.0,18
620,14.0,14
621,15.0,15
622,18.0,18
623,11.0,11
624,14.0,14
625,16.0,16
626,9.0,9
627,36.0,36
628,15.0,15
629,17.0,17
630,22.0,22
631,44.0,44
632,14.0,14
633,11.0,11
634,12.0,12
635,16.0,16
636,22.0,22
637,16.0,16
638,27.0,27
639,13.0,13
640,14.0,14
641,30.0,30
642,50.0,50
643,11.0,11
644,15.0,15
645,15.0,15
646,14.0,14
647,18.0,18
648,25.0,25
649,38.0,38
650,33.0,33
651,17.0,17
652,30.0,30
653,15.0,15
654,14.0,14
655,23.0,23
656,39.0,39
657,43.0,43
658,19.0,19
659,16.0,16
660,9.0,9
661,21.0,21
662,38.0,38
663,14.0,14
664,17.0,17
665,31.0,31
666,18.0,18
667,73.0,73
668,43.0,43
669,19.0,19
670,53.0,53
671,16.0,16
672,23.0,23
673,27.0,27
674,84.0,84
675,26.0,26
676,26.0,26
677,15.0,15
678,13.0,13
679,12.0,12
680,22.0,22
681,23.0,23
682,17.0,17
683,17.0,17
684,18.0,18
685,21.0,21
686,49.0,49
687,13.0,13
688,17.0,17
689,22.0,22
690,15.0,15
691,11.0,11
692,12.0,12
693,25.0,25
694,16.0,16
695,17.0,17
696,32.0,32
697,30.0,30
698,13.0,13
699,14.0,14
700,21.0,21
701,39.0,39
702,41.0,41
703,21.0,21
704,27.0,27
705,9.0,9
706,12.0,12
707,26.0,26
708,33.0,33
709,30.0,30
710,18.0,18
711,21.0,21
712,13.0,13
713,33.0,33
714,13.0,13
715,14.0,14
716,20.0,20
717,15.0,15
718,11.0,11
719,18.0,18
720,15.0,15
721,49.0,49
722,15.0,15
723,17.0,17
724,20.0,20
725,14.0,14
726,12.0,12
727,20.0,20
728,12.0,12
729,17.0,17
730,30.0,30
731,25.0,25
732,26.0,26
733,10.0,10
734,27.0,27
735,25.0,25
736,13.0,13
737,24.0,24
738,14.0,14
739,11.0,11
740,19.0,19
741,11.0,11
742,24.0,24
743,50.0,50
744,30.0,30
745,17.0,17
746,38.0,38
747,27.0,27
748,32.0,32
749,22.0,22
750,22.0,22
751,20.0,20
752,12.0,12
753,46.0,46
754,31.0,31
755,20.0,20
756,21.0,21
757,11.0,11
758,16.0,16
759,21.0,21
760,22.0,22
761,14.0,14
762,32.0,32
763,13.0,13
764,18.0,18
765,19.0,19
766,15.0,15
