Episode,Reward,Length
1,13.0,13
2,11.0,11
3,21.0,21
4,19.0,19
5,21.0,21
6,27.0,27
7,28.0,28
8,34.0,34
9,16.0,16
10,22.0,22
11,41.0,41
12,38.0,38
13,12.0,12
14,19.0,19
15,18.0,18
16,22.0,22
17,37.0,37
18,18.0,18
19,13.0,13
20,9.0,9
21,30.0,30
22,29.0,29
23,18.0,18
24,21.0,21
25,14.0,14
26,39.0,39
27,30.0,30
28,14.0,14
29,12.0,12
30,56.0,56
31,20.0,20
32,54.0,54
33,50.0,50
34,22.0,22
35,25.0,25
36,37.0,37
37,42.0,42
38,17.0,17
39,12.0,12
40,16.0,16
41,54.0,54
42,9.0,9
43,13.0,13
44,11.0,11
45,20.0,20
46,37.0,37
47,10.0,10
48,11.0,11
49,12.0,12
50,15.0,15
51,22.0,22
52,14.0,14
53,50.0,50
54,12.0,12
55,20.0,20
56,19.0,19
57,24.0,24
58,24.0,24
59,28.0,28
60,28.0,28
61,14.0,14
62,14.0,14
63,11.0,11
64,17.0,17
65,12.0,12
66,12.0,12
67,13.0,13
68,17.0,17
69,15.0,15
70,24.0,24
71,21.0,21
72,18.0,18
73,19.0,19
74,17.0,17
75,25.0,25
76,12.0,12
77,15.0,15
78,10.0,10
79,23.0,23
80,13.0,13
81,13.0,13
82,17.0,17
83,11.0,11
84,11.0,11
85,18.0,18
86,33.0,33
87,14.0,14
88,20.0,20
89,11.0,11
90,21.0,21
91,15.0,15
92,10.0,10
93,15.0,15
94,11.0,11
95,16.0,16
96,9.0,9
97,29.0,29
98,12.0,12
99,16.0,16
100,14.0,14
101,17.0,17
102,13.0,13
103,13.0,13
104,14.0,14
105,18.0,18
106,28.0,28
107,10.0,10
108,14.0,14
109,13.0,13
110,13.0,13
111,16.0,16
112,13.0,13
113,23.0,23
114,16.0,16
115,13.0,13
116,16.0,16
117,21.0,21
118,30.0,30
119,19.0,19
120,14.0,14
121,13.0,13
122,13.0,13
123,17.0,17
124,11.0,11
125,16.0,16
126,16.0,16
127,18.0,18
128,17.0,17
129,11.0,11
130,15.0,15
131,19.0,19
